0	title	release_year	genre	score	platfor
1	LittleBigPlanet PS Vita	2012	Platformer	9	PlayStation Vit
2	LittleBigPlanet PS Vita -- Marvel Super Hero Edition	2012	Platformer	9	PlayStation Vit
3	Splice: Tree of Life	2012	Puzzle	8.5	iPa
4	NHL 13	2012	Sports	8.5	Xbox 360,PlayStation 
5	Total War Battles: Shogun	2012	Strategy	7	Macintosh,P
6	Double Dragon: Neon	2012	Fighting	3	Xbox 360,PlayStation 
7	Guild Wars 2	2012	RPG	9	P
8	Tekken Tag Tournament 2	2012	Fighting	7.5	PlayStation 3,Xbox 36
9	Wild Blood	2012		7	iPhon
10	Mark of the Ninja	2012	Action, Adventure	9	Xbox 360,P
11	Home: A Unique Horror Adventure	2012	Adventure	6.5	Macintosh,P
12	Avengers Initiative	2012	Action	8	iPhon
13	Way of the Samurai 4	2012	Action, Adventure	5.5	PlayStation 
14	JoJo's Bizarre Adventure HD	2012	Fighting	7	Xbox 360,PlayStation 
15	Mass Effect 3: Leviathan	2012	RPG	7.5	Xbox 360,PlayStation 3,P
16	Dark Souls (Prepare to Die Edition)	2012	Action, RPG	9	P
17	Symphony	2012	Shooter	7	P
18	Bastion	2012	Action, RPG	9	iPad,Xbox 360,P
19	Tom Clancy's Ghost Recon Phantoms	2012	Shooter	7.5	P
20	Thirty Flights of Loving	2012	Adventure	8	P
21	Legasista	2012	Action, RPG	6.5	PlayStation 
22	The Walking Dead: The Game -- Episode 3: Long Road Ahead	2012	Adventure	9	Macintosh,Xbox 360,PC,PlayStation 3,iPa
23	World of Warcraft: Mists of Pandaria	2012	RPG	8.7	P
24	Hell Yeah! Wrath of the Dead Rabbit	2012	Platformer	4.9	PlayStation 3,PC,Xbox 36
25	Pokemon White Version 2	2012	RPG	9.6	Nintendo D
26	War of the Roses	2012	Action	7.3	P
27	Pokemon Black Version 2	2012	RPG	9.6	Nintendo D
28	Drakerider	2012	RPG	6.5	iPhon
29	Rock Band Blitz	2012	Music	8.5	Xbox 36
30	Counter-Strike: Global Offensive	2012	Shooter	8	Macintosh,PC,PlayStation 3,Xbox 36
31	Worms Revolution	2012	Strategy	8.5	PlayStation 3,PC,Xbox 36
32	Bad Piggies	2012	Action	9.2	iPhon
33	Resident Evil 6	2012	Action, Adventure	7.9	PlayStation 3,Xbox 36
34	Shad'O	2012	Adventure	7	P
35	Demon's Score	2012	Action	6.9	iPhon
36	NBA 2K13	2012	Sports	9.1	Xbox 360,PlayStation 3,PC,Wii 
37	The World Ends with You: Solo Remix	2012	RPG	9.5	iPad,iPhon
38	Madden NFL 13	2012	Sports	6	PlayStation Vita,PlayStation 3,Xbox 360,Wii,Wii 
39	Hoodwink	2012	Adventure	2.5	P
40	Lili: Child of Geos	2012	Adventure	7	iPhon
41	Marvel vs. Capcom Origins	2012	Fighting	8.2	Xbox 360,PlayStation 
42	Dead or Alive 5	2012	Fighting	8.8	PlayStation 3,Xbox 36
43	Medal of Honor Warfighter	2012	Shooter	4	PC,PlayStation 3,Xbox 36
44	Professor Layton and the Miracle Mask	2012	Adventure	8.7	Nintendo 3D
45	Hotline Miami	2012	Action	8.8	P
46	Edna & Harvey: Harvey's New Eyes	2012	Adventure	6	P
47	Transformers: Fall of Cybertron	2012	Shooter	8.5	Xbox 360,PlayStation 
48	Hero Academy	2012	Board	9	PC,iPhon
49	Puzzle Craft	2012	Puzzle	9	iPhone,Androi
50	Realms Of Ancient War	2012	Action	5.5	Xbox 360,PlayStation 
51	Anomaly: Warzone Earth	2012	Action	8.2	PlayStation 3,PC,iPad,Xbox 36
52	Darksiders II	2012	Action	7.5	PC,PlayStation 3,Xbox 360,Wii 
53	Left 4 Dead 2: Cold Stream	2012	Shooter	7	Macintosh,PC,Xbox 36
54	Horn	2012	Action, Adventure	9	iPhon
55	Forza Horizon	2012	Racing	9	Xbox 36
56	FIFA Soccer 13	2012	Sports	4	PlayStation Vita,PC,PlayStation 3,Xbox 360,Wii 
57	Mugen Souls	2012	Strategy, RPG	3.9	PlayStation 
58	Crazy Taxi	2012	Racing, Action	7.1	iPhone,Dreamcast,PlayStation 2,GameCube,Xbox 360,PlayStation 
59	New Little King's Story	2012	RPG	5.8	PlayStation Vit
60	Fable: The Journey	2012	Action, RPG	7.2	Xbox 36
61	The Lord of the Rings Online: Riders of Rohan	2012	RPG	8.3	P
62	Doom 3: BFG Edition	2012	RPG	7.6	Xbox 360,PlayStation 3,P
63	Rugby League Live 2	2012	Sports	6	Xbox 360,PlayStation 
64	Punch Quest	2012	Action	9.3	iPhon
65	He-Man: The Most Powerful Game in the Universe	2012	Action	6.8	iPhon
66	Dokuro	2012	Puzzle	8.8	PlayStation Vit
67	Naughty Bear: Panic in Paradise	2012	Action	2.3	Xbox 360,PlayStation 
68	Borderlands 2: Captain Scarlett and her Pirate's Booty	2012	Shooter, RPG	7.5	PlayStation 3,PC,Xbox 36
69	Skylanders Giants	2012	Action, Adventure	8	PlayStation 3,Xbox 360,Wi
70	Rayman: Jungle Run	2012	Platformer	8.8	iPhon
71	Torchlight II	2012	Action, RPG	9.1	P
72	The Sims 3: Supernatural	2012	Simulation	4.5	P
73	Retro/Grade	2012		7	PlayStation 
74	Iron Brigade	2012	Action	9	PC,Xbox 36
75	Cafeteria Nipponica	2012	Simulation	6	iPhon
76	Sleeping Dogs	2012	Action	8.5	Xbox 360,PlayStation 
77	Papo & Yo	2012	Adventure	4	PlayStation 3,P
78	The Walking Dead: The Game -- Episode 4: Around Every Corner	2012	Adventure	7.5	PC,iPad,PlayStation 3,Xbox 360,Macintos
79	Cortex Command	2012	Action, Simulation	5	P
80	Derrick the Deathfin	2012	Action	7.4	PlayStation 
81	XCOM: Enemy Unknown	2012	Strategy	8.2	Xbox 360,PC,PlayStation 3,iPhon
82	Silent Hill: Book of Memories	2012	Adventure	6	PlayStation Vit
83	Diaspora: Shattered Armistice	2012	Flight, Action	7.4	P
84	Pocket Clothier	2012	Strategy	6.6	iPhone,Androi
85	Ravaged	2012	Shooter	6.7	P
86	True Skate	2012	Sports	6.7	iPhon
87	Zero Escape: Virtue's Last Reward	2012	Adventure	9.5	Nintendo 3DS,PlayStation Vit
88	Devil's Attorney	2012	Strategy	8.3	Android,iPhon
89	Code of Princess	2012	Action, RPG	6.9	Nintendo 3D
90	SunFlowers	2012	Puzzle	8	PlayStation Vit
91	007 Legends	2012	Action	4.5	Xbox 360,PlayStation 3,Wii 
92	Super Hexagon	2012	Action	9	iPhon
93	Machinarium	2012	Adventure	8	PlayStation 3,PC,iPa
94	Final Fantasy Dimensions	2012	RPG	8	iPhon
95	They Bleed Pixels	2012	Platformer	8.2	P
96	Jet Set Radio	2012	Action	7.5	PlayStation Vita,PlayStation 3,Xbox 360,iPhon
97	Pro Evolution Soccer 2013	2012	Sports	8.5	Xbox 360,PlayStation 3,P
98	F1 2012	2012	Racing	9	PC,PlayStation 3,Xbox 36
99	Pitfall	2012	Platformer	7	iPhone,Wireles
100	Dust: An Elysian Tail	2012	Platformer	8.5	Xbox 36
101	Hybrid	2012	Shooter	8	Xbox 36
102	The Dark Knight Rises	2012	Action	5.5	iPhon
103	10000000	2012		7.5	iPhon
104	The Political Machine 2012	2012	Strategy	6.5	P
105	Sound Shapes	2012	Platformer	9	PlayStation 3,PlayStation Vita,PlayStation 
106	One Piece: Pirate Warriors	2012	Action	6	PlayStation 
107	Dishonored	2012	Action	9.2	Xbox 360,PC,PlayStation 
108	Angry Birds Trilogy	2012	Puzzle, Action	7	Nintendo 3DS,Xbox 360,PlayStation 
109	Girls Like Robots	2012	Puzzle	8.5	iPhon
110	Happy Wars	2012	Action	4	Xbox 36
111	Funky Smugglers	2012	Action	9	iPhon
112	Colour Bind	2012		6.2	P
113	WRC 3 FIA World Rally Championship	2012	Racing	5	Xbox 360,PC,PlayStation 
114	Retro City Rampage	2012	Action, Adventure	5.3	PlayStation 3,PC,PlayStation Vit
115	Dance Central 3	2012	Music	8	Xbox 36
116	Snapshot	2012	Platformer	5	P
117	Borderlands 2	2012	Shooter, RPG	9	Xbox 360,PC,PlayStation 3,PlayStation Vit
118	Joe Danger: The Movie	2012	Action	8	Xbox 36
119	Persona 4 Arena	2012	Fighting	9	PlayStation 3,Xbox 36
120	The Unfinished Swan	2012	Puzzle	9	PlayStation 
121	Tokyo Jungle	2012	Adventure	8	PlayStation 
122	Halo 4	2012	Shooter	9.8	Xbox 36
123	Halo 4 (Limited Edition)	2012	Shooter	9.8	Xbox 36
124	Zone of the Enders HD Collection	2012	Action, Compilation	7	PlayStation 3,Xbox 36
125	Harvest Moon: A New Beginning	2012	Adventure	8.3	Nintendo 3D
126	Borderlands Legends	2012	Action, RPG	6.5	iPhone,iPa
127	Okami HD	2012	Adventure	9.4	PlayStation 
128	Ragnarok Odyssey	2012	RPG	5	PlayStation Vit
129	Need for Speed Most Wanted	2012	Racing, Action	6.9	iPhone,PlayStation 3,Xbox 360,PC,PlayStation Vit
130	Pid	2012	Platformer	7.8	Xbox 360,PC,PlayStation 
131	Assassin's Creed III	2012	Action, Adventure	8.5	Xbox 360,PlayStation 3,PC,Wii 
132	Assassin's Creed III: Liberation	2012	Action	7.2	PlayStation Vit
133	Smart As...	2012	Educational, Puzzle	8.5	PlayStation Vit
134	WWE '13	2012	Wrestling	8.4	PlayStation 3,Xbox 36
135	Street Fighter x Tekken	2012	Fighting	6.6	PlayStation Vita,Xbox 360,PlayStation 
136	Chivalry: Medieval Warfare	2012	Adventure	7.9	P
137	Sonic Jump	2012	Platformer	7.5	iPhon
138	F1 Race Stars	2012	Racing	5.2	Xbox 360,PlayStation 
139	Call of Duty: Black Ops II	2012	Shooter	9.3	PC,Xbox 360,PlayStation 3,Wii 
140	Midway Arcade Origins	2012	Action, Compilation	5.5	PlayStation 3,Xbox 36
141	When Vikings Attack	2012	Fighting, Action	6.5	PlayStation 3,PlayStation Vit
142	Freakyforms Deluxe: Your Creations, Alive!	2012	Productivity	5	Nintendo 3D
143	Painkiller: Hell & Damnation	2012	Shooter	5	P
144	Transformers Prime	2012	Action	8	Nintendo 3DS,Wii 
145	Angry Birds Star Wars	2012	Puzzle	8.8	iPhon
146	Farming Simulator 2013	2012	Simulation	7.1	P
147	Paper Mario: Sticker Star	2012	RPG	8.3	Nintendo 3D
148	Lucius	2012	Adventure	6	P
149	LittleBigPlanet Karting	2012	Racing	5	PlayStation 
150	Primal Carnage	2012	Shooter	7.6	P
151	Natural Selection 2	2012	Shooter	8	P
152	Symphonica: Grand Maestro	2012	Music	6	iPhon
153	Football Manager 2013	2012	Sports, Simulation	9	Macintosh,P
154	The Walking Dead: The Game -- Episode 5: No Time Left	2012	Adventure	9.5	PC,iPad,Macintosh,PlayStation 3,Xbox 36
155	Orgarhythm	2012	Music, Action	4.7	PlayStation Vit
156	Sports Champions 2	2012	Sports, Action	7.6	PlayStation 
157	Kinect Party	2012	Party	8.5	Xbox 36
158	Sky Gamblers: Storm Raiders	2012	Action	7.1	iPhon
159	Oddworld: Stranger's Wrath HD	2012	Action, Adventure	7.5	PlayStation Vita,PlayStation 
160	AirBuccaneers	2012	Action	7.5	P
161	Theatrhythm Final Fantasy	2012	Music, Action	8	iPhone,Nintendo 3D
162	Sing Party	2012	Music	6.3	Wii 
163	Beatdown!	2012	Fighting, Action	6.3	iPhon
164	Waking Mars	2012	Action	6.5	PC,iPhon
165	Hitman: Absolution	2012	Action	9	PlayStation 3,Xbox 360,P
166	ZombiU	2012	Shooter	6.3	Wii 
167	Grand Theft Auto: Vice City	2012	Action, Adventure	7.7	iPhone,PlayStation 2,P
168	Street Fighter X Mega Man	2012	Action	7	P
169	Sonic & All-Stars Racing Transformed	2012	Racing, Action	7	PlayStation Vita,Nintendo 3DS,Xbox 360,PlayStation 3,Wii 
170	The Sims 3: Seasons	2012	Simulation	7.5	P
171	Tank! Tank! Tank!	2012	Action	5.8	Wii 
172	Guardians of Middle-earth	2012	Battle	7.5	Xbox 360,PlayStation 3,P
173	Ratchet & Clank: Full Frontal Assault	2012	Action	6.4	PlayStation 3,PlayStation Vit
174	Page Chronica	2012	Puzzle	4.1	PlayStation 
175	Batman: Arkham City -- Armored Edition	2012	Action	9.5	Wii 
176	Disney Epic Mickey 2: The Power of Two	2012	Action, Adventure	6	PlayStation 3,Xbox 360,Wii U,PlayStation Vit
177	Scribblenauts Unlimited	2012	Puzzle, Action	8.8	Wii U,P
178	Call of Duty: Black Ops Declassified	2012	Shooter	4	PlayStation Vit
179	Fallen Enchantress	2012	Strategy	7.9	P
180	Guns of Icarus Online	2012	Shooter	7.3	P
181	Miner Wars 2081	2012	Shooter	5	P
182	The Elder Scrolls V: Skyrim -- Dragonborn	2012	RPG	8.8	Xbox 36
183	Baldur's Gate -- Enhanced Edition	2012	RPG	6	iPad,P
184	Black Knight Sword	2012	Puzzle, Adventure	6.9	Xbox 360,PlayStation 
185	The Walking Dead: A Telltale Game Series -- Season One	2012	Adventure	9.3	Xbox 360,PlayStation 3,iPhone,PC,Macintosh,iPa
186	New Super Mario Bros. U	2012	Platformer	9.1	Wii 
187	Nintendo Land	2012	Party	8.7	Wii 
188	ARC Squadron	2012	Flight, Action	7.3	iPhon
189	Ninja Gaiden III: Razor's Edge	2012	Action	7.6	Wii 
190	The Walking Dead -- Game of the Year Edition	2012	Adventure	9.3	PC,PlayStation 3,Xbox 36
191	Real Boxing	2012	Sports	7.6	iPhon
192	Crashmo	2012	Puzzle, Action	9.5	Nintendo 3D
193	PlanetSide 2	2012	Shooter	9	PC,PlayStation 
194	Strike Suit Zero	2013	Shooter	7.5	P
195	Final Fantasy: All The Bravest	2013	RPG	2.5	iPhon
196	Tokyo Crash Mobs	2013	Puzzle, Action	7.7	Nintendo 3D
